   8.2520000e-01   9.4200000e-02   	0.	0.
   8.2520000e-01  -9.4200000e-02   	0.	0.
   4.2070000e-01  -6.9600000e-02   	0.	0.
   4.2070000e-01  -1.1600000e-01   	0.	0.
   4.2070000e-01   2.3200000e-02   	0.	0.
   4.2070000e-01  -2.3200000e-02   	0.	0.
   4.2070000e-01   1.1600000e-01   	0.	0.
   4.2070000e-01   6.9600000e-02   	0.	0.
   6.5310000e-01   2.3560000e-01   	0.	0.
   7.8260000e-01   1.4300000e-01   	0.	0.
   7.8260000e-01  -1.4300000e-01   	0.	0.
   6.5310000e-01  -2.5360000e-01   	0.	0.
